,ProductID,OrderQty,OrderDate
0,776,1,2011-05-31
1,776,4,2011-05-31
2,776,1,2011-05-31
3,776,1,2011-05-31
4,776,2,2011-05-31
5,776,2,2011-05-31
6,776,2,2011-05-31
7,776,3,2011-05-31
8,776,1,2011-06-28
9,776,3,2011-07-01
10,776,2,2011-07-01
11,776,4,2011-07-01
12,776,2,2011-07-01
13,776,1,2011-07-01
14,776,4,2011-07-01
15,776,4,2011-07-01
16,776,2,2011-07-01
17,776,8,2011-07-01
18,776,2,2011-07-01
19,776,5,2011-07-01
20,776,2,2011-07-01
21,776,2,2011-07-01
22,776,4,2011-07-01
23,776,4,2011-07-01
24,776,5,2011-07-01
25,776,2,2011-07-01
26,776,1,2011-07-01
27,776,2,2011-07-01
28,776,3,2011-07-01
29,776,3,2011-07-01
30,776,4,2011-07-01
31,776,1,2011-07-01
32,776,6,2011-07-01
33,776,1,2011-07-09
34,776,1,2011-07-20
35,776,1,2011-07-22
36,776,1,2011-07-31
37,776,1,2011-07-31
38,776,1,2011-08-01
39,776,3,2011-08-01
40,776,5,2011-08-01
41,776,7,2011-08-01
42,776,5,2011-08-01
43,776,3,2011-08-01
44,776,2,2011-08-01
45,776,1,2011-08-01
46,776,5,2011-08-01
47,776,4,2011-08-01
48,776,3,2011-08-01
49,776,1,2011-08-21
50,776,10,2011-08-31
51,776,2,2011-08-31
52,776,1,2011-08-31
53,776,4,2011-08-31
54,776,1,2011-08-31
55,776,3,2011-08-31
56,776,2,2011-08-31
57,776,2,2011-08-31
58,776,4,2011-08-31
59,776,1,2011-09-10
60,776,1,2011-09-10
61,776,1,2011-09-16
62,776,5,2011-10-01
63,776,2,2011-10-01
64,776,5,2011-10-01
65,776,2,2011-10-01
66,776,3,2011-10-01
67,776,3,2011-10-01
68,776,12,2011-10-01
69,776,3,2011-10-01
70,776,6,2011-10-01
71,776,5,2011-10-01
72,776,3,2011-10-01
73,776,2,2011-10-01
74,776,2,2011-10-01
75,776,2,2011-10-01
76,776,2,2011-10-01
77,776,3,2011-10-01
78,776,2,2011-10-01
79,776,5,2011-10-01
80,776,2,2011-10-01
81,776,2,2011-10-01
82,776,1,2011-10-01
83,776,1,2011-10-10
84,776,1,2011-10-15
85,776,6,2011-10-31
86,776,1,2011-10-31
87,776,8,2011-10-31
88,776,2,2011-10-31
89,776,5,2011-10-31
90,776,2,2011-10-31
91,776,2,2011-10-31
92,776,9,2011-10-31
93,776,1,2011-10-31
94,776,2,2011-10-31
95,776,3,2011-10-31
96,776,5,2011-10-31
97,776,2,2011-10-31
98,776,2,2011-10-31
99,776,5,2011-10-31
100,776,6,2011-10-31
101,776,5,2011-10-31
102,776,1,2011-11-14
103,776,1,2011-11-18
104,776,1,2011-11-19
105,776,1,2011-11-19
106,776,1,2011-11-25
107,776,2,2011-12-01
108,776,3,2011-12-01
109,776,4,2011-12-01
110,776,1,2011-12-01
111,776,1,2011-12-01
112,776,2,2011-12-01
113,776,2,2011-12-01
114,776,2,2011-12-01
115,776,1,2011-12-11
116,776,1,2011-12-15
117,776,1,2011-12-15
118,776,1,2011-12-15
119,776,1,2011-12-22
120,776,1,2011-12-26
121,776,1,2011-12-31
122,776,3,2012-01-01
123,776,4,2012-01-01
124,776,1,2012-01-01
125,776,6,2012-01-01
126,776,2,2012-01-01
127,776,1,2012-01-01
128,776,4,2012-01-01
129,776,10,2012-01-01
130,776,1,2012-01-01
131,776,3,2012-01-01
132,776,2,2012-01-01
133,776,1,2012-01-01
134,776,4,2012-01-01
135,776,6,2012-01-01
136,776,2,2012-01-01
137,776,2,2012-01-01
138,776,2,2012-01-01
139,776,2,2012-01-01
140,776,2,2012-01-01
141,776,1,2012-01-05
142,776,1,2012-01-13
143,776,1,2012-01-29
144,776,2,2012-01-29
145,776,1,2012-01-29
146,776,6,2012-01-29
147,776,2,2012-01-29
148,776,1,2012-01-29
149,776,2,2012-01-29
150,776,5,2012-01-29
151,776,2,2012-01-29
152,776,1,2012-01-29
153,776,5,2012-01-29
154,776,7,2012-01-29
155,776,6,2012-01-29
156,776,2,2012-01-29
157,776,2,2012-01-29
158,776,5,2012-01-29
159,776,5,2012-01-29
160,776,2,2012-01-29
161,776,1,2012-02-01
162,776,1,2012-02-10
163,776,1,2012-02-12
164,776,2,2012-02-29
165,776,2,2012-02-29
166,776,3,2012-02-29
167,776,2,2012-02-29
168,776,2,2012-02-29
169,776,5,2012-02-29
170,776,4,2012-02-29
171,776,4,2012-02-29
172,776,2,2012-02-29
173,776,1,2012-03-03
174,776,1,2012-03-04
175,776,1,2012-03-09
176,776,1,2012-03-12
177,776,1,2012-03-14
178,776,1,2012-03-15
179,776,1,2012-03-18
180,776,2,2012-03-30
181,776,2,2012-03-30
182,776,1,2012-03-30
183,776,1,2012-03-30
184,776,5,2012-03-30
185,776,4,2012-03-30
186,776,2,2012-03-30
187,776,5,2012-03-30
188,776,8,2012-03-30
189,776,3,2012-03-30
190,776,1,2012-03-30
191,776,4,2012-03-30
192,776,8,2012-03-30
193,776,3,2012-03-30
194,776,1,2012-03-30
195,776,2,2012-03-30
196,776,5,2012-03-30
197,776,5,2012-03-30
198,776,2,2012-03-30
199,776,3,2012-03-30
200,776,5,2012-03-30
201,776,2,2012-03-30
202,776,1,2012-04-04
203,776,1,2012-04-07
204,776,1,2012-04-08
205,776,1,2012-04-14
206,776,2,2012-04-30
207,776,2,2012-04-30
208,776,1,2012-04-30
209,776,2,2012-04-30
210,776,3,2012-04-30
211,776,4,2012-04-30
212,776,2,2012-04-30
213,776,3,2012-04-30
214,776,3,2012-04-30
215,776,2,2012-04-30
216,776,7,2012-04-30
217,776,6,2012-04-30
218,776,5,2012-04-30
219,776,1,2012-04-30
220,776,11,2012-04-30
221,776,3,2012-04-30
222,776,2,2012-04-30
223,776,1,2012-04-30
224,776,1,2012-05-09
225,776,1,2012-05-17
226,776,1,2012-05-18
227,776,1,2012-05-28
228,777,3,2011-05-31
229,777,2,2011-05-31
230,777,2,2011-05-31
231,777,2,2011-05-31
232,777,6,2011-05-31
233,777,3,2011-05-31
234,777,5,2011-05-31
235,777,1,2011-06-08
236,777,1,2011-06-14
237,777,1,2011-06-17
238,777,1,2011-06-26
239,777,1,2011-06-26
240,777,1,2011-06-29
241,777,5,2011-07-01
242,777,3,2011-07-01
243,777,2,2011-07-01
244,777,2,2011-07-01
245,777,1,2011-07-01
246,777,3,2011-07-01
247,777,1,2011-07-01
248,777,2,2011-07-01
249,777,2,2011-07-01
250,777,2,2011-07-01
251,777,3,2011-07-01
252,777,10,2011-07-01
253,777,2,2011-07-01
254,777,2,2011-07-01
255,777,2,2011-07-01
256,777,4,2011-07-01
257,777,1,2011-07-01
258,777,6,2011-07-01
259,777,2,2011-07-01
260,777,2,2011-07-01
261,777,5,2011-07-01
262,777,1,2011-07-21
263,777,1,2011-07-21
264,777,1,2011-07-23
265,777,1,2011-07-29
266,777,1,2011-08-01
267,777,3,2011-08-01
268,777,2,2011-08-01
269,777,5,2011-08-01
270,777,2,2011-08-01
271,777,3,2011-08-01
272,777,11,2011-08-01
273,777,1,2011-08-01
274,777,6,2011-08-01
275,777,2,2011-08-01
276,777,3,2011-08-01
277,777,2,2011-08-01
278,777,3,2011-08-01
279,777,1,2011-08-01
280,777,2,2011-08-01
